LTC Litecoin
XMR Monero
NXT Nxt
ETC Ethereum Classic
DOGE Dogecoin
ZEC ZCash
BTS Bitshares
DGB DigiByte
XRP Ripple
BTCD BitcoinDark
CRAIG CraigsCoin
XPY PayCoin
PRC ProsperCoin
YBC YbCoin
DANK DarkKush
GIVE GiveCoin
KOBO KoboCoin
DT DarkToken
CETI CETUS Coin
SUP Supcoin
XPD PetroDollar
GEO GeoCoin
CHASH CleverHash
SPR Spreadcoin
NXTI NXTI
WOLF Insanity Coin
XDP DogeParty
2015 2015 coin
42 42 Coin
AC Asia Coin
ALF AlphaCoin
AGS Aegis
AMC AmericanCoin
ALN AlienCoin
ARI AriCoin
AUR Aurora Coin
AXR AXRON
BCX BattleCoin
BEN Benjamins
BITB BitBean
BLU BlueCoin
BLK BlackCoin
BOST BoostCoin
BQC BQCoin
XMY MyriadCoin
MOON MoonCoin
ZET ZetaCoin
ENRG EnergyCoin
QRK QuarkCoin
RIC Riecoin
DGC DigiCoin
CAIX CAIx
BTG* BitGem
BUK CryptoBuk
CACH Cachecoin
CANN CannabisCoin
CAP BottleCaps
CASH CashCoin
CBX CryptoBullion
CCN CannaCoin
CINNI CINNICOIN
CLAM CLAMS
CLOAK CloakCoin
CLR CopperLark
CMC CosmosCoin
CNC ChinaCoin
CNL ConcealCoin
COMM Community Coin
COOL CoolCoin
CRACK CrackCoin
CRC* CraftCoin
CRYPT CryptCoin
DEM eMark
EFL E-Gulden
EMC2 Einsteinium
EXE ExeCoin
EZC EZCoin
FC2 Fuel2Coin
FFC FireflyCoin
FIBRE FIBRE
FRC FireRoosterCoin
FLT FlutterCoin
FRAC FractalCoin
FTC FeatherCoin
GDC GrandCoin
GLC GlobalCoin
GLD GoldCoin
GLX GalaxyCoin
GML GameLeagueCoin
GUE GuerillaCoin
HAL Halcyon
HBN HoboNickels
HVC HeavyCoin
HYP Hyperstake
ICB IceBergCoin
IOC IOCoin
IXC IXcoin
JKC JunkCoin
KDC Klondike Coin
LAB* CoinWorksCoin
LGD* Legendary Coin
LK7 Lucky7Coin
